target,iteration,particle_id,hidden_units,alpha,learning_rate_init,fitness
Final Setting Time (FST),3,5,24,0.0001,0.01839222547719627,49.842586614922354
Final Setting Time (FST),3,6,20,0.0001,0.009895101846390258,45.139746300415105
Final Setting Time (FST),3,7,20,0.0003647969661705307,0.002970442864333144,55.28003792386344
Final Setting Time (FST),3,8,19,0.00022203118244511615,0.005785917526709855,40.82844005691622
Final Setting Time (FST),3,9,21,0.0002509395633778375,0.004945411594191238,43.856782580933775
Final Setting Time (FST),3,10,19,0.0001,0.00580984377232276,40.92220363367666
Final Setting Time (FST),3,11,23,0.0001,0.010316303310588786,45.61676253687431
Final Setting Time (FST),3,12,22,0.00019229283761289673,0.014177732941425786,46.70397464808313
Final Setting Time (FST),3,13,20,0.00017769000880954154,0.007366459475158042,43.78011555118741
Final Setting Time (FST),3,14,20,0.00011288167336712541,0.002785809348207179,61.54663980587843
Final Setting Time (FST),4,0,19,0.0001,0.005241565596549583,41.26264194310511
Final Setting Time (FST),4,1,19,0.00018640987596341507,0.014247758827193513,46.973390346232726
Final Setting Time (FST),4,2,19,0.000163293169324438,0.007333259800893553,43.41847398770528
Final Setting Time (FST),4,3,21,0.00043881115777491894,0.008958319979508444,46.281703902890634
Final Setting Time (FST),4,4,19,0.0001,0.005821228987427651,40.8567399036418
Final Setting Time (FST),4,5,23,0.00015463995623216746,0.006668520682338466,44.35897274642478
Final Setting Time (FST),4,6,20,0.00014904958673198383,0.008447834924128811,44.18940214886613
Final Setting Time (FST),4,7,16,0.00917374513160457,0.005486419345972652,44.18136142891857
Final Setting Time (FST),4,8,19,0.00017299464255184308,0.006234534658245923,42.50256529514686
Final Setting Time (FST),4,9,17,0.0002609107862444458,0.007856122307705937,44.46999534633815
Final Setting Time (FST),4,10,19,0.0001,0.007268806151819125,43.374567618769944
Final Setting Time (FST),4,11,19,0.0001,0.0065985857591157,42.74231978183721
Final Setting Time (FST),4,12,20,0.00030492820562245373,0.0066299658852924485,43.46633280194104
Final Setting Time (FST),4,13,20,0.00023858712909645383,0.004355393801160971,43.163424891743276
Final Setting Time (FST),4,14,19,0.0003565014496555958,0.015667167539547732,45.72888021125982
